Time,Lat,Long,Heading,Baralt,Radalt,Pitch,Bank,Yaw,IAS,TAS,Gx,Gy,Gz,AOA,VS
0.00,45.001766,36.860848,8.352631,4569.693359,4569.693359,0.000000,0.000000,8.352631,186.710128,231.250000,0.000000,1.000000,0.000000,0.000000,0.000000
0.03,45.001749,36.860888,2.069445,4569.692871,4569.692871,0.000001,-0.000000,2.069445,186.688026,231.222198,-0.262193,-0.435671,0.051835,-0.008363,-0.105290
0.06,45.001719,36.860956,2.069404,4569.686523,4569.686523,0.000368,-0.000015,2.069404,186.647827,231.171707,-0.118144,0.615784,0.050751,0.055374,-0.280601
0.10,45.001675,36.861058,2.069224,4569.671387,4569.671387,0.000726,0.000166,2.069224,186.631205,231.150955,-0.007774,0.646035,0.050060,0.111860,-0.427467
0.12,45.001647,36.861123,2.069058,4569.660156,4569.660156,0.000838,0.000338,2.069058,186.634522,231.155182,0.029720,0.632688,0.048829,0.139139,-0.512615
0.15,45.001617,36.861193,2.068788,4569.643066,4569.643066,0.000919,0.000562,2.068788,186.644907,231.168304,0.052047,0.620357,0.046608,0.170895,-0.623012
0.18,45.001586,36.861266,2.068524,4569.627441,4569.627441,0.000957,0.000735,2.068524,186.655989,231.182281,0.062195,0.618365,0.044743,0.195069,-0.712709
0.21,45.001554,36.861338,2.068139,4569.604004,4569.604004,0.000986,0.000947,2.068139,186.671725,231.202072,0.068782,0.623255,0.042415,0.223986,-0.824183
0.24,45.001523,36.861411,2.067695,4569.577637,4569.577637,0.000999,0.001154,2.067695,186.688473,231.223114,0.071657,0.632163,0.040090,0.251463,-0.933418
0.27,45.001493,36.861481,2.067198,4569.548340,4569.548340,0.000999,0.001355,2.067198,186.705702,231.244659,0.072577,0.642111,0.037726,0.277465,-1.039793
0.30,45.001460,36.861556,2.066651,4569.515625,4569.515625,0.000986,0.001543,2.066651,186.723039,231.266342,0.072466,0.651328,0.035258,0.302017,-1.143355
0.33,45.001430,36.861626,2.066180,4569.486816,4569.486816,0.000967,0.001682,2.066180,186.736886,231.283600,0.071980,0.657892,0.033209,0.320672,-1.224381
0.35,45.001400,36.861696,2.065554,4569.448730,4569.448730,0.000932,0.001836,2.065554,186.754106,231.305023,0.071121,0.665149,0.030549,0.342858,-1.323656
0.38,45.001369,36.861767,2.064890,4569.407715,4569.407715,0.000887,0.001966,2.064890,186.771157,231.326202,0.070125,0.671604,0.027802,0.363906,-1.420945
0.41,45.001339,36.861837,2.064334,4569.372559,4569.372559,0.000843,0.002052,2.064334,186.784678,231.342941,0.069287,0.676352,0.025559,0.380008,-1.497477
0.44,45.001308,36.861909,2.063614,4569.326172,4569.326172,0.000782,0.002137,2.063614,186.801405,231.363663,0.068245,0.681934,0.022719,0.399312,-1.591633
0.47,45.001277,36.861979,2.062868,4569.277344,4569.277344,0.000713,0.002196,2.062868,186.817989,231.384094,0.067240,0.687220,0.019857,0.417794,-1.684201
0.49,45.001246,36.862052,2.062101,4569.225098,4569.225098,0.000639,0.002232,2.062101,186.834398,231.404266,0.066290,0.692286,0.016991,0.435545,-1.775254
0.52,45.001216,36.862122,2.061475,4569.181641,4569.181641,0.000576,0.002244,2.061475,186.847417,231.420258,0.065577,0.696242,0.014709,0.449270,-1.847044
0.55,45.001183,36.862197,2.060683,4569.125000,4569.125000,0.000493,0.002238,2.060683,186.863576,231.440033,0.064740,0.701014,0.011880,0.465890,-1.935506
0.58,45.001153,36.862267,2.059882,4569.065430,4569.065430,0.000407,0.002211,2.059882,186.879583,231.459625,0.063966,0.705666,0.009093,0.481969,-2.022588
0.61,45.001121,36.862340,2.059077,4569.003418,4569.003418,0.000319,0.002164,2.059077,186.895503,231.479019,0.063186,0.709140,0.006380,0.497588,-2.108432
0.64,45.001090,36.862413,2.058272,4568.938965,4568.938965,0.000229,0.002096,2.058272,186.911242,231.498184,0.062254,0.709622,0.003740,0.513062,-2.193834
0.67,45.001059,36.862485,2.057472,4568.872070,4568.872070,0.000144,0.002007,2.057472,186.926847,231.517120,0.061349,0.710482,0.001130,0.528716,-2.279092
0.69,45.001029,36.862553,2.056837,4568.816406,4568.816406,0.000081,0.001921,2.056837,186.939289,231.532120,0.060709,0.712505,-0.000908,0.541467,-2.346916
0.72,45.000998,36.862626,2.056054,4568.744629,4568.744629,0.000012,0.001800,2.056054,186.954661,231.550690,0.060021,0.716678,-0.003362,0.557699,-2.430745
0.75,45.000967,36.862698,2.055285,4568.670898,4568.670898,-0.000046,0.001667,2.055285,186.969921,231.569092,0.059437,0.722187,-0.005697,0.574211,-2.513098
0.78,45.000933,36.862776,2.054534,4568.594238,4568.594238,-0.000093,0.001523,2.054534,186.985127,231.587357,0.058929,0.728505,-0.007905,0.590927,-2.593676
0.81,45.000904,36.862844,2.053949,4568.531250,4568.531250,-0.000124,0.001401,2.053949,186.997232,231.601868,0.058563,0.733888,-0.009581,0.604397,-2.656744
0.84,45.000873,36.862914,2.053239,4568.450195,4568.450195,-0.000153,0.001241,2.053239,187.012335,231.619934,0.058583,0.744703,-0.011564,0.621181,-2.733273
0.87,45.000842,36.862987,2.052555,4568.367188,4568.367188,-0.000174,0.001073,2.052555,187.027642,231.638214,0.060066,0.760047,-0.013454,0.637461,-2.805699
0.90,45.000812,36.863057,2.051899,4568.281738,4568.281738,-0.000189,0.000901,2.051899,187.043406,231.657059,0.062310,0.776381,-0.015174,0.652868,-2.873340
0.93,45.000780,36.863130,2.051398,4568.212402,4568.212402,-0.000202,0.000761,2.051398,187.056421,231.672577,0.064110,0.788144,-0.016425,0.664419,-2.924177
0.96,45.000739,36.863225,2.050570,4568.087891,4568.087891,-0.000229,0.000510,2.050570,187.079911,231.700653,0.067059,0.805023,-0.018393,0.682916,-3.007259
0.98,45.000716,36.863278,2.050236,4568.033203,4568.033203,-0.000243,0.000399,2.050236,187.090273,231.713043,0.068278,0.810708,-0.019150,0.690209,-3.040964
